hour,day_of_week,road_type,distance,is_peak_hour,congestion_level,travel_time
8,6,0,25.267602393113858,1,0.7131135308854791,69.56224589503191
2,2,0,31.75958763059725,0,0.1889124662891246,40.53982141875596
6,4,0,12.556758182494326,0,0.5861383991186319,23.777124530008656
5,4,2,38.70897298262938,0,0.15785719562267972,71.66098745198047
7,1,1,25.25280009831371,1,0.8225676861902382,86.01177609272925
8,5,2,23.89475285447638,1,0.3503863468666883,73.06151627401279
4,3,1,15.290948588211686,0,0.1682172623536548,22.860813210959392
0,6,0,16.253910673604913,0,0.16385855057978368,21.241910717239154
18,4,2,10.771577312578767,1,0.7796588974566636,47.169931490101234
9,1,1,47.302784468956105,1,0.6610111241706911,148.8621954594967
11,2,2,12.279149835506772,0,0.38332379053935894,30.16120828794464
23,2,0,2.4102489180045694,0,0.13938893469945052,2.850293186401667
14,6,1,21.417987290377127,0,0.29098627914187003,38.251840398753274
21,6,0,48.44255990879937,0,0.25826781103382945,67.18590243477504
23,4,1,2.0025499909699844,0,0.19624730393740103,3.175077280221087
8,6,2,13.283732333367645,1,0.3752571923601535,40.46711343751452
19,1,1,12.903256647107202,1,0.7486610150176958,43.93524528836307
16,0,2,26.85908472715313,0,0.27823135360618534,58.1090323555676
16,6,0,37.94629035036801,0,0.3634267660440842,57.50808134353392
19,5,0,20.997558831021667,1,0.6275506105641789,51.38841821036291
11,5,1,16.77524736831568,0,0.29823051174793314,28.45839027999225
6,3,0,14.604774044527733,0,0.36493485381732055,21.66912942269601
1,4,1,45.92009035676073,0,0.13943054738710964,65.26015381643064
2,0,2,47.06094883813104,0,0.14079195285626903,83.60726528515224
16,3,1,29.19649505441431,0,0.35288793980581346,53.10506871311525
4,0,1,44.09743963463267,0,0.13403411924136785,61.65935975752857
16,5,1,49.391049500388796,0,0.22468344389254333,78.05653308427587
23,1,0,28.50649833721189,0,0.20146021163558211,35.37350594296287
16,6,2,15.238015203914063,0,0.20745068423461566,31.071450775120873
16,4,1,17.134080468725603,0,0.33569619366255116,31.342204524246135
1,0,2,30.811391509818417,0,0.08107427281384201,51.86556404784567
1,0,0,19.364172616494805,0,0.1928759215743769,26.560014904185458
21,0,1,25.74130483349805,0,0.3967576966084671,48.22367777053067
22,5,1,11.870797273858575,0,0.11980209032952346,18.0854771105749
4,4,2,49.68490988611932,0,0.12084175311885091,87.73940233447406
0,1,2,10.00254218408871,0,0.1123622266269922,19.098230012227056
0,1,2,45.74420575218371,0,0.15070415210915422,85.84640735911174
18,0,1,43.511118785579626,1,0.8650592163820395,154.74996009194177
1,1,1,40.61440331443003,0,0.18008387580214122,62.101058470267475
20,3,2,46.883972844981336,0,0.37944346279799596,108.64078118826524
11,1,2,40.38349030815142,0,0.3231481412448016,88.45293779812805
5,0,2,17.95035136780496,0,0.10663859231354716,32.78031012231189
22,3,0,8.893902312844007,0,0.13923844587591275,12.542213634738411
3,4,1,25.438191497315998,0,0.12484310009809603,36.87138518862015
22,2,2,0.7700183999486669,0,0.08957320841653843,3.298893188900751
10,5,0,47.47130950011425,0,0.378806167283019,74.7438573846598
23,1,1,42.88011343190632,0,0.13159782684048232,62.72903255016025
16,6,0,41.14259491572388,0,0.40004667172427305,67.3986685831997
5,3,2,18.186693006299983,0,0.1368636890864805,34.792237895745345
23,2,0,6.183565447604793,0,0.19983703347393997,8.88114329935885
4,4,0,35.70031759504412,0,0.1512904716394077,42.834876552845714
19,2,2,32.58247788236435,1,0.5702494362243451,116.50544995664579
1,4,2,41.251793123511966,0,0.13083346399543064,72.73870935109807
5,0,1,25.717502206346953,0,0.10143075323160525,37.20246970485307
21,0,0,7.993005396725967,0,0.43951420779905187,14.716023861208477
10,5,2,40.97872900606563,0,0.27589771834188254,85.26555222333882
15,5,2,35.263702229050736,0,0.22892251938761557,70.7361936066101
15,4,2,47.918422072413634,0,0.34021891676353244,106.6250217859432
0,2,1,4.943845018389749,0,0.11392555266263926,8.797073162306098
8,5,0,29.545319120387248,1,0.5170785056296543,66.66581973925776
5,1,2,32.005720109546374,0,0.11796828869319494,58.21577686214222
15,2,0,49.99494698693394,0,0.5281691366119864,89.66532553574298
2,5,2,41.70654546933552,0,0.09517810666756484,72.66082954022025
19,2,2,15.971746138465884,1,0.7675755047446846,68.82329301502713
3,6,0,23.903263388983444,0,0.140251959906935,29.45176541222472
18,1,0,18.196504207622116,1,0.8410005943954367,52.66801118664896
2,2,1,45.93367824181109,0,0.17406601995108575,70.47811138238562
18,2,1,26.444126618821528,1,0.9918316627245548,100.9217193428268
19,3,0,45.13886362898068,1,0.851685535258846,131.73049869298606
6,4,2,18.416180251996206,0,0.26066909891859297,37.180445392837086
19,0,1,9.397878808530429,1,0.7912375699885519,33.029249896633054
8,5,0,27.30515783643451,1,0.6998692943786549,73.15652589157382
0,6,1,49.36361234584617,0,0.10587352040923731,70.11002859211291
7,5,0,31.609591858640975,1,0.6832141682411923,84.59344738300996
6,5,2,3.223567241813334,0,0.17299889489129427,5.595479640240761
17,4,1,2.1711230606984575,1,0.8003536493689103,6.19133146183292
7,2,1,21.76795065598296,1,0.660746730604991,65.96933316126866
0,1,1,2.348359062397799,0,0.1813069325875949,3.217804867635075
10,1,1,5.675847603484015,0,0.3307915681665657,11.798504203108749
17,0,0,37.79547677225369,1,0.9981739781623276,122.70013184764848
22,0,0,38.0340155042514,0,0.12270238988723771,45.08457328797685
9,0,1,9.642491132785365,1,0.7736374931652521,31.689759651827522
2,1,2,42.62992264704796,0,0.08221918684565366,73.72587821538794
6,2,0,9.190837902879247,0,0.5738020314333758,15.695669618113907
15,0,0,38.33006314733377,0,0.3931513077074607,61.84951048535386
15,0,2,30.31952319453014,0,0.2596668874576218,62.8675256911623
19,6,1,42.895970561754105,1,0.49064370692107706,116.88621805422515
16,1,1,37.793305223402655,0,0.30448105506899636,65.39230467707885
1,5,0,0.5163892529677279,0,0.09594869630216553,-0.12661825985738073
0,2,2,3.5067173271558674,0,0.10118420010903798,7.4816305735214055
15,0,2,2.0925996302789196,0,0.34049360010402496,4.46657483675156
11,2,0,41.759867174115215,0,0.589577944945036,77.31853087353888
4,3,1,29.998655322486112,0,0.17316338423026975,44.41213127344845
4,5,1,48.41608734494828,0,0.1185677974065942,66.4914472672654
22,5,2,19.73014954549632,0,0.08250205526963307,32.320898097910444
8,0,2,9.35374833879104,1,0.6805262521285047,35.060694401823625
8,0,2,17.331859673984507,1,0.4837511247320711,57.09300039179493
2,6,2,13.899398840920801,0,0.07333156071107082,24.927699781928094
18,1,2,42.50355800306775,1,0.7376238039971392,173.82934231968574
15,5,2,13.667205666875583,0,0.24860767301157702,29.20351835299577
15,6,2,7.10476303858373,0,0.25358664347153786,14.638396569248775
2,3,2,16.983237636161693,0,0.13786875330636797,32.3325214138434
19,3,2,39.98772454536193,1,0.6342025895699366,152.455577133694
23,3,0,20.334111833610226,0,0.22868047365758654,26.740753537068326
21,4,1,30.950000507258544,0,0.46766282050046387,62.688112761457035
23,1,0,10.671021218646999,0,0.15369824790862927,14.473582939537902
0,1,0,4.230508025765799,0,0.22839650100611342,6.9792003418128985
23,0,2,12.084107387235605,0,0.09180007836632215,21.958694437871966
19,1,2,41.0811458239226,1,0.6601862436773284,159.27030997521956
10,0,2,34.557152796979075,0,0.3702711885753977,79.94474023877319
16,6,0,4.566976940652789,0,0.3750158680129095,7.10873575478473
7,0,2,11.129624832687755,1,0.5600097123740299,40.12493013184156
3,4,2,11.961282606990892,0,0.14659405499969305,23.71932057912968
5,6,1,14.449869735954811,0,0.0764729039202748,19.51004768596605
7,1,2,33.16697680937937,1,0.6692746748149352,128.11001271164147
19,1,1,8.671280796006661,1,0.9076020637897733,32.1782599100301
2,4,0,6.345532485105028,0,0.15078974432654213,8.887997327250675
15,4,1,25.86315937156068,0,0.4991176344353948,53.256931288005845
2,6,2,16.68682461109241,0,0.09660902990514737,28.012336252683802
17,6,2,11.489202846796411,1,0.5378538072574572,42.247006876856176
13,1,1,9.117597853511823,0,0.4522377258395327,20.104499972743856
17,1,1,13.428395943113223,1,0.9247326734121901,48.36231526972155
1,6,2,2.4044048999570466,0,0.05872057584994165,5.780646808254215
21,0,1,15.94752689650791,0,0.49932631644184716,34.27822323424903
2,2,1,19.47015758216234,0,0.10214987005883414,28.59868131766073
15,5,2,11.67361960213397,0,0.1935494896954787,22.48711497287148
8,0,0,32.44046481322795,1,0.9036748474898288,99.65771726757565
3,3,0,43.01148918659819,0,0.1567463492885909,51.88297842110964
0,3,2,37.07225938450474,0,0.15538962145812374,67.53974940903808
3,2,1,10.32890545820609,0,0.1579545363372281,13.889146386720768
0,5,0,6.968102160051321,0,0.11559029034248514,7.210072500647884
13,4,1,46.25662163679304,0,0.5037034086014067,95.61182103557898
20,3,2,22.99334310137738,0,0.2817614873371538,50.939215558167
15,4,1,43.274589661912174,0,0.4408478644959266,86.95576922938261
19,4,0,32.75989149267071,1,1.0,104.69244314859577
23,0,1,36.64475177617067,0,0.18004400626953085,55.23699675462787
7,4,0,10.145270958775349,1,0.7616351518347172,28.749804416939558
6,2,1,39.75785233908498,0,0.43807551853827964,78.97451752046419
2,0,0,20.462750499636225,0,0.15420742885553687,23.34708498831195
16,2,1,18.799853922866617,0,0.3075948802782385,34.17401220266258
0,4,0,30.992322361207027,0,0.1668006514359441,39.41632108591419
15,3,0,14.208481048005511,0,0.4690685442126895,24.316769839905724
11,5,2,13.84945533366123,0,0.17037514747486918,24.307374977969076
18,4,1,4.383695165505449,1,0.9532541667739098,18.535459649595285
21,2,0,20.11713306417067,0,0.5862190071219949,36.653339918808726
22,1,1,30.70150710040147,0,0.14713514172851766,45.524222143624726
21,1,1,13.57055302936786,0,0.3140544269518753,23.59502076269457
13,3,2,44.79553051586531,0,0.42470454502442084,109.23786683122799
5,6,0,48.77687810740784,0,0.09142589511358636,56.667166176506775
5,5,0,7.701076741103454,0,0.15611461419188602,9.553394640865598
12,2,1,26.497810911658302,0,0.5793481307637257,60.54076153557273
18,3,2,15.437219400404192,1,0.791992922247915,64.51384718349271
21,0,0,19.980534410553098,0,0.3722387349516768,31.758041681212273
7,4,0,22.449603739514487,1,0.7801163896507258,63.89165762879084
1,6,1,22.811548890478125,0,0.11183215949421177,30.620209425994297
20,0,0,19.185202211541224,0,0.418981841754551,31.399590260437584
0,1,1,18.174140046658962,0,0.1395730095551491,27.52748301797772
14,4,0,4.3161813367984205,0,0.5841763548323727,6.355243210118774
0,0,0,19.727775759305914,0,0.1818948719899361,24.86987277746193
4,1,2,49.43043582863011,0,0.13898545665373613,91.35807047097016
15,5,0,23.193390688773256,0,0.29838011345337684,32.84441348251292
18,0,0,18.82563074904676,1,1.0,59.790913288999796
3,4,2,38.179708472033155,0,0.13938872704782163,68.4392271895614
2,0,0,44.563786570054326,0,0.16669708581120654,57.54539147164756
16,6,1,33.289133963874974,0,0.28990106213654304,55.440013831366436
16,6,1,18.327846919998315,0,0.2788401769354052,30.240669363064548
11,4,2,20.5001842204269,0,0.39065455709889235,48.35105013877667
13,0,0,21.216442056104253,0,0.616388057267572,41.51164619289664
20,3,2,5.613664802739535,0,0.25292809095332836,13.246644071038855
5,5,2,27.093369003099212,0,0.08904273096335685,44.658181276797656
2,0,0,9.67806723727452,0,0.1503940536780325,10.422444062420244
8,0,0,33.570245591371325,1,0.8321641116973495,99.8840195776924
4,6,0,38.0315035152511,0,0.11972336842508062,45.77997857467569
23,6,2,29.600433863093127,0,0.06149622420573458,47.97673960792061
16,3,2,14.285198387060762,0,0.24343516533470286,28.817885450697325
13,6,2,41.10840477075343,0,0.24326416043289656,84.11124418865305
20,1,0,10.493669521277958,0,0.44618602972343496,16.48256646813121
2,4,2,11.321775692405081,0,0.12934498410714187,20.054484718456546
0,2,2,7.27378784640356,0,0.10054852456907595,11.883550371532298
19,1,0,38.100095269360146,1,1.0,121.87925189347443
20,4,0,27.456853946703518,0,0.49603624837298027,48.259156705704285
22,0,2,5.930993980100695,0,0.1416835457487632,10.41504199651131
0,1,1,29.749695371291523,0,0.15718617819397546,43.45493328521354
2,0,2,42.985516210830276,0,0.10419296343169682,72.94275917693263
17,1,1,22.866246646789914,1,0.7943735997567843,77.9434981535162
9,1,2,41.609776979828304,1,0.49246342878600063,141.46617679882576
21,2,1,46.83114779247332,0,0.39801732839289194,88.08707216345375
2,3,0,13.696326190271497,0,0.2062461998035107,17.700683333538702
7,1,0,28.434183474976052,1,1.0,92.75831075071216
13,6,2,44.618952124455774,0,0.3347529078839062,100.78472370675695
23,0,0,30.682118482965187,0,0.12647595200404535,37.72898767427883
17,2,2,22.064577157898462,1,0.7373662903132893,92.33703732090488
14,1,2,30.016264196872278,0,0.4118507945207468,71.66007772689535
21,6,0,37.471992530123345,0,0.30208285148058334,54.44142571664813
22,3,1,14.095044964918579,0,0.16192290896772538,22.158778169327242
1,0,2,7.57799523143656,0,0.0838432386681931,13.626739919144764
9,2,1,9.88627175475522,1,0.8775113209930968,33.78033790053834
1,4,1,36.50112316730833,0,0.13789899533461397,51.14058600099328
16,5,0,6.004695587438478,0,0.33419712375786503,7.560058908926697
7,3,2,16.51047299623641,1,0.5284085761940924,57.09439701604088
0,6,0,41.7705233653005,0,0.14160365783965276,52.462361708290786
8,4,2,44.315255747372426,1,0.6878223809537904,177.42595891709223
10,4,1,48.41515506672298,0,0.37238002346640087,91.75220378842313
21,2,2,30.611658376056088,0,0.3347136943697823,67.93606116053695
15,2,1,12.327688520410184,0,0.46017289589793436,23.973499572419176
6,2,0,33.42817329060428,0,0.5410265767076242,62.40866584203045
9,6,0,9.859049206684245,1,0.7030492694471566,27.524910691748406
22,6,0,12.408732022112675,0,0.14533795496488783,16.186783990429973
2,4,2,46.472255728996664,0,0.12533671997905158,83.32605740015217
17,5,2,0.9826081474419083,1,0.5487430374274509,3.6909699160365124
23,0,0,27.6946489712142,0,0.1903708968880191,37.516597688587844
12,2,2,3.3873929960914446,0,0.4427031924691283,6.985457354412033
6,3,2,11.526804929326262,0,0.2943684160826398,24.52989933522573
3,2,2,18.020065915217224,0,0.09609246422668521,29.172569132066318
12,5,1,5.873449593777957,0,0.3340649966121971,11.9695539421725
19,2,2,2.211588460722811,1,0.7286459949324791,8.53835504169934
0,5,0,18.09813396608871,0,0.14039504567308106,23.327206453474552
7,2,0,25.837763776411744,1,0.782625165415787,73.38958302905827
13,4,2,40.43591447705907,0,0.34336868008580596,93.45410266463405
15,5,1,17.2295820055532,0,0.24920133290193178,27.71818062698332
13,0,1,15.892264521825068,0,0.40132437073065874,30.148442680846344
11,2,1,1.0637115745960994,0,0.4213476562712491,0.8674329533076732
18,4,0,31.040100468517103,1,1.0,100.74556753561768
22,3,0,38.39860549795022,0,0.14007738919268004,48.394834859816434
14,0,2,0.6782676984500852,0,0.35222699293717086,1.1562089172198935
1,4,2,0.7807941123168285,0,0.13240368451662662,1.9381959984398496
1,5,2,43.36852041277093,0,0.08114082270742824,71.73536938316481
22,1,1,14.23867957434057,0,0.1733115122414176,22.577108228705608
21,3,2,26.534336521860148,0,0.27742022795647114,56.77266286434325
18,3,2,33.118834246404695,1,0.5925463885900587,120.68791973181034
21,1,2,32.4122874059308,0,0.3921617088762685,76.02728590056851
21,4,2,28.184518798527378,0,0.39107901172378373,67.55278110382753
16,4,2,10.430435414583405,0,0.3745302091097986,24.970641605497498
19,6,0,37.99381647573801,1,0.7831598457760217,108.08640804435463
9,5,0,28.65887249675346,1,0.5927018270708595,70.5916642677978
5,3,1,16.441602172294864,0,0.11121470407664785,23.467490986511194
14,6,1,34.77039098947315,0,0.3456213954756691,62.61279790748879
21,4,1,7.980787672558287,0,0.34661909649452105,13.271459561306946
10,1,0,18.656112268244257,0,0.4172987497678992,28.42141912966445
4,6,0,10.307993097224436,0,0.1440101353285612,10.606561939979283
0,4,2,18.347918192371214,0,0.09302916064611805,29.550090478814976
7,3,1,27.924313055201605,1,0.8346324301251038,98.8940774604696
20,4,2,23.207198493315673,0,0.33555446778442805,51.56732673690918
11,0,0,28.763555406052717,0,0.436997662033787,47.74820476628492
11,1,2,15.495404960306068,0,0.2576953681102899,32.34011543840234
4,1,2,4.955993050997342,0,0.11057928041161853,10.229746485961906
6,2,2,6.1699416450565225,0,0.37163452403779573,14.05091361286254
